City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,Sterling,39.0062,-77.4286,60.24,82,20,8.05,US,2021-10-17 01:22:00
337,Vila Franca Do Campo,37.7167,-25.4333,73.81,95,100,22.57,PT,2021-10-17 01:23:00
338,Orlik,52.5178,99.825,23.97,54,10,1.95,RU,2021-10-17 01:23:01
339,Soyo,-6.1349,12.3689,76.15,80,37,6.82,AO,2021-10-17 01:23:01
340,Tateyama,34.9833,139.8667,64.67,85,100,21.63,JP,2021-10-17 01:23:02
341,Kavaratti,10.5669,72.642,81.14,81,100,14.94,IN,2021-10-17 01:19:20
342,Sitka,57.0531,-135.33,46.29,71,20,11.5,US,2021-10-17 01:22:01
343,Loa Janan,-0.583,117.095,82.26,85,99,2.37,ID,2021-10-17 01:23:03
344,Teiu,44.6667,25.1,52.75,96,100,5.57,RO,2021-10-17 01:23:03
345,Khatanga,71.9667,102.5,13.1,93,100,4.99,RU,2021-10-17 01:23:03
346,Salvador,13.8333,-88.9167,72.0,94,99,1.59,SV,2021-10-17 01:22:01
347,Yeppoon,-23.1333,150.7333,83.98,52,13,9.51,AU,2021-10-17 01:23:04
348,Isangel,-19.55,169.2667,80.71,89,90,0.0,VU,2021-10-17 01:23:04
349,Lasa,46.6166,10.7002,39.02,70,1,2.01,IT,2021-10-17 01:23:05
350,Florianopolis,-27.6146,-48.5012,68.43,84,75,3.0,BR,2021-10-17 01:23:05
351,Cherskiy,68.75,161.3,-1.46,94,44,3.31,RU,2021-10-17 01:23:06
352,Esperance,-33.8667,121.9,60.64,60,16,6.78,AU,2021-10-17 01:23:06
353,Pisco,-13.7,-76.2167,62.02,82,100,20.71,PE,2021-10-17 01:23:07
354,Berdigestyakh,62.0989,126.6992,18.97,69,63,2.73,RU,2021-10-17 01:23:07
355,Nador,35.174,-2.9287,62.85,55,0,1.14,MA,2021-10-17 01:23:08
356,Sioux Lookout,50.1001,-91.917,50.07,62,40,8.05,CA,2021-10-17 01:18:27
357,Aripuana,-9.1667,-60.6333,73.24,99,100,2.37,BR,2021-10-17 01:23:08
358,Rocha,-34.4833,-54.3333,42.82,70,0,3.58,UY,2021-10-17 01:23:09
359,Goodyear,33.4353,-112.3582,89.22,17,1,0.0,US,2021-10-17 01:23:09
360,Castrovillari,39.8203,16.2123,54.1,88,36,0.63,IT,2021-10-17 01:23:09
361,Amarante Do Maranhao,-5.5667,-46.7422,75.78,78,56,3.87,BR,2021-10-17 01:23:10
362,Kontagora,10.3999,5.4695,75.56,57,6,1.99,NG,2021-10-17 01:23:10
363,Clyde River,70.4692,-68.5914,25.92,80,49,11.68,CA,2021-10-17 01:23:11
364,Dyersburg,36.0345,-89.3856,57.06,82,1,0.0,US,2021-10-17 01:21:43
365,Ambon,-3.6954,128.1814,87.94,74,20,5.75,ID,2021-10-17 01:23:11
366,Reading,51.4562,-0.9711,54.48,92,75,5.75,GB,2021-10-17 01:23:12
367,Faanui,-16.4833,-151.75,80.4,73,8,19.37,PF,2021-10-17 01:23:12
368,Madimba,-10.4,40.3333,73.94,85,35,6.35,TZ,2021-10-17 01:23:13
