City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Imbituba,BR,74.82,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
410,Syracuse,IT,75.25,overcast clouds,37.0881,15.2792,Hotel Posta
411,Kirkuk,IQ,71.62,clear sky,35.4681,44.3922,تل عبدالعزيز
413,Bereda,ES,62.58,overcast clouds,43.2686,-7.5406,Pazo de Verdes
414,Chuncheng,CN,61.61,few clouds,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
416,Banda Aceh,ID,79.74,overcast clouds,5.5577,95.3222,Sulthan Hotel International
417,Pangai,TO,74.08,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
418,Cangucu,BR,58.44,moderate rain,-31.395,-52.6756,Casa Paulista
419,Teguise,ES,71.82,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
420,Atocha,BO,64.71,scattered clouds,-20.9333,-66.2333,ALOJAMIENTO RESTAURANT BARQUITO
421,Zuienkerke,BE,56.01,few clouds,51.2525,3.1361,Hotel Restaurant D'Hofstee
425,Ngunguru,NZ,62.17,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
426,Comodoro Rivadavia,AR,64.26,few clouds,-45.8667,-67.5,Austral Hotel
427,Santa Lucia,ES,66.76,scattered clouds,27.9117,-15.5407,Las Tirajanas
431,Wajima,JP,57.4,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
432,Heze,CN,53.64,light rain,35.2431,115.4411,Hanting Express Heze North Mudang Road University Town
434,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
437,Calvinia,ZA,51.21,broken clouds,-31.4707,19.776,Die Lemoenhuis
438,Mwene-Ditu,CD,75.31,broken clouds,-7.0,23.45,Hôtel Kamas
439,Rieti,IT,63.52,overcast clouds,42.4072,12.8592,Hotel Miramonti
440,Bangolo,CI,78.55,light rain,7.0069,-7.475,Résidence hôtel yekoula
441,Srandakan,ID,77.97,overcast clouds,-7.9386,110.2506,Puri Brata
442,Coihaique,CL,52.41,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
446,Nurota,UZ,53.69,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
449,Mingaora,PK,56.57,clear sky,34.7758,72.3625,Burj Al Swat
451,Mabaruma,GY,78.58,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
452,Wilmington,US,76.86,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
453,Rafaela,AR,74.05,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
454,Alexandria,EG,71.64,clear sky,31.2156,29.9553,Royal Crown Hotel
455,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
459,Dumas,US,79.66,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
460,Amalapuram,IN,76.01,heavy intensity rain,16.5833,82.0167,swayamprabha service apartments
461,Patacamaya,BO,67.44,clear sky,-17.2333,-67.9167,RESIDENCIAL ISLA VIGU
466,Tevaitoa,PF,77.23,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
469,Ampanihy,MG,74.34,clear sky,-24.7,44.75,Angora Hotel
470,Dillon,US,76.03,clear sky,34.4166,-79.3712,Dillon Express Inn
472,San Quintin,MX,66.65,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
478,Mackay,AU,76.05,few clouds,-21.15,149.2,International Lodge Motel
479,Wewak,PG,79.2,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
481,Oswego,US,52.92,overcast clouds,43.4501,-76.1497,S & E Mobile Home Park
482,Naze,JP,67.96,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
484,Ushibuka,JP,60.85,few clouds,32.1906,130.0228,Hotei
485,Nola,IT,69.15,overcast clouds,40.922,14.5329,Villa Minieri Eventi
486,Sumbe,AO,76.82,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
488,Tezu,IN,70.68,few clouds,27.9167,96.1667,Circuit House
491,Elliot,ZA,51.73,scattered clouds,-31.3333,27.85,Rose Garden Dinner Bed and Breakfast
494,Dharmavaram,IN,74.68,moderate rain,14.4333,77.7167,BALAJI LODGE
495,Buta,CD,75.79,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
500,Garh Maharaja,PK,68.79,clear sky,30.8339,71.9053,Zaki Pansar Shop
504,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
508,Bahile,PH,74.79,heavy intensity rain,9.9995,118.7878,Nitivos Beach Resort
509,Xilitla,MX,79.74,overcast clouds,21.3333,-98.9667,Rio Tancuilin
513,Kasempa,ZM,77.38,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
514,Taoru,IN,74.86,clear sky,28.2167,76.95,Aravali Orchard
517,Robe,AU,52.99,clear sky,-37.1833,139.75,Harbour View Motel
519,Camden,US,63.66,overcast clouds,39.7835,-74.9663,Days Inn by Wyndham Berlin Voorhees
520,Buala,SB,79.54,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
525,Gondar,ET,61.07,overcast clouds,12.6,37.4667,L Shape Hotel
526,Ibra,OM,79.52,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
528,Aksu,CN,50.88,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
529,Westport,US,59.05,overcast clouds,41.1415,-73.3579,The Westport Inn
530,Bapatla,IN,79.77,broken clouds,15.9,80.4667,Kumar Hotel
533,Waw,SS,77.7,light rain,7.7029,27.9953,Universal Gab Hotel
537,Tuy Hoa,VN,75.78,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
539,Namibe,AO,69.04,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
540,Bandipur,NP,59.52,clear sky,27.9333,84.4167,Bandipur Guest House
542,Jalu,LY,78.48,clear sky,29.0331,21.5482,صاحبة الفخامة
543,Santa Maria,BR,66.43,light rain,-29.6842,-53.8069,Hotel Morotin
544,Zhoucheng,CN,52.54,overcast clouds,35.9122,116.3117,Yingbin Restaurant
545,Darnah,LY,72.75,clear sky,32.767,22.6367,فندق الفردوس
547,Chicama,PE,73.62,broken clouds,-7.8447,-79.1469,Balihai Bungalows
548,Noumea,NC,67.98,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
553,Ballina,AU,71.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
554,Ourem,PT,72.61,overcast clouds,39.6417,-8.5919,Pousada Ourém
555,Gat,IL,74.08,clear sky,31.61,34.7642,OlusHome
557,Port Augusta,AU,55.54,clear sky,-32.5,137.7667,Majestic Oasis Apartments
560,Mataram,ID,76.01,broken clouds,-8.5833,116.1167,Hotel Santika Mataram
561,Praia Da Vitoria,PT,68.34,clear sky,38.7333,-27.0667,Hotel Branco I
563,Margate,GB,55.11,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
568,Chowchilla,US,67.91,clear sky,37.123,-120.2602,Days Inn by Wyndham Chowchilla Gateway to Yosemite
