,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
33,Bud,39.447,-86.1758,57.33,73,64,4.65,US,broken clouds
34,Kavieng,-2.5744,150.7967,82.13,77,70,15.86,PG,broken clouds
35,Pozo Colorado,-23.4923,-58.7972,108.23,20,0,17.11,PY,clear sky
36,Souillac,-20.5167,57.5167,75.36,80,4,10.49,MU,clear sky
37,Havelock,34.8791,-76.9013,75.97,75,14,8.99,US,few clouds
38,Ushuaia,-54.8,-68.3,38.86,81,75,13.8,AR,moderate rain
39,La Primavera,5.4906,-70.4092,89.26,53,28,12.08,CO,scattered clouds
40,Kyren,51.6828,102.1408,36.48,74,100,0.83,RU,overcast clouds
41,Itupiranga,-5.1347,-49.3267,88.12,69,98,4.65,BR,moderate rain
42,Qaanaaq,77.484,-69.3632,-1.57,58,0,7.85,GL,clear sky
43,Kankakee,41.15,-87.8667,54.91,56,1,8.05,US,clear sky
44,Vardo,70.3705,31.1107,33.82,72,100,15.46,NO,light snow
45,East London,-33.0153,27.9116,64.67,59,53,26.98,ZA,broken clouds
46,Faanui,-16.4833,-151.75,77.14,75,87,3.24,PF,overcast clouds
47,Ponta Do Sol,32.6667,-17.1,73.71,66,26,5.12,PT,scattered clouds
48,Upernavik,72.7868,-56.1549,18.73,81,75,4.59,GL,broken clouds
49,Hermanus,-34.4187,19.2345,59.9,69,68,9.44,ZA,light rain
50,Mahibadhoo,3.7833,72.9667,83.07,72,49,14.32,MV,scattered clouds
51,Lapua,62.9693,23.0088,30.99,97,31,2.46,FI,scattered clouds
52,Maceio,-9.6658,-35.7353,90.84,62,40,14.97,BR,scattered clouds
53,Koumac,-20.5667,164.2833,71.01,87,7,9.93,NC,clear sky
54,Harrisburg,40.2737,-76.8844,60.39,83,90,1.99,US,overcast clouds
55,Yulara,-25.2406,130.9889,69.64,32,0,10.36,AU,clear sky
56,Norman Wells,65.282,-126.8329,29.93,90,71,3.85,CA,broken clouds
57,Castro,-24.7911,-50.0119,76.15,44,87,9.73,BR,overcast clouds
58,Cape Town,-33.9258,18.4232,63.27,60,59,3.0,ZA,broken clouds
59,Yellowknife,62.456,-114.3525,42.42,84,95,17.0,CA,overcast clouds
60,Touros,-5.1989,-35.4608,88.7,55,33,12.64,BR,scattered clouds
61,Kananga,-5.8958,22.4178,78.62,59,48,2.37,CD,scattered clouds
62,Port Alfred,-33.5906,26.891,62.01,66,32,31.85,ZA,scattered clouds
63,Barrow,71.2906,-156.7887,30.22,86,90,13.8,US,overcast clouds
64,Chuy,-33.6971,-53.4616,62.8,68,100,1.83,UY,light rain
65,New Norfolk,-42.7826,147.0587,51.66,82,100,7.0,AU,overcast clouds
66,Ahipara,-35.1667,173.1667,60.21,97,98,1.83,NZ,overcast clouds
67,Quatre Cocos,-20.2078,57.7625,75.09,79,17,10.33,MU,few clouds
68,Airai,-8.9266,125.4092,61.74,86,82,1.48,TL,broken clouds
69,Bredasdorp,-34.5322,20.0403,57.27,62,78,9.8,ZA,broken clouds
70,Luderitz,-26.6481,15.1594,63.05,66,28,19.3,NA,scattered clouds
71,Dikson,73.5069,80.5464,10.2,87,100,12.86,RU,overcast clouds
72,Hobart,-42.8794,147.3294,52.02,93,90,1.01,AU,light intensity shower rain
73,Sambava,-14.2667,50.1667,76.23,90,36,3.22,MG,light rain
74,Vaini,-21.2,-175.2,69.96,88,75,10.36,TO,broken clouds
75,Jutai,-5.1833,-68.9,93.97,44,58,5.53,BR,broken clouds
76,Brokopondo,4.75,-55.1667,85.66,68,41,6.53,SR,scattered clouds
77,Bluff,-46.6,168.3333,52.7,86,100,3.31,NZ,overcast clouds
78,Bethel,41.3712,-73.414,57.67,61,90,6.91,US,overcast clouds
79,Abilene,32.4487,-99.7331,81.09,61,1,14.97,US,clear sky
80,Kapaa,22.0752,-159.319,75.52,90,40,12.66,US,light rain
81,Kaseda,31.4167,130.3167,53.85,67,8,9.15,JP,clear sky
82,Auki,-8.7676,160.7034,75.47,85,7,3.36,SB,clear sky
83,Shostka,51.863,33.4698,40.05,71,18,9.69,UA,few clouds
84,Saskylakh,71.9167,114.0833,6.89,95,100,15.28,RU,light snow
85,Asau,46.4333,26.4,47.95,60,6,4.83,RO,light rain
86,Plettenberg Bay,-34.0527,23.3716,57.49,79,44,13.67,ZA,light rain
87,Kolokani,13.5728,-8.0339,88.7,47,82,4.92,ML,broken clouds
88,Gardelegen,52.5252,11.3952,49.77,87,99,5.5,DE,overcast clouds
89,Lillesand,58.2488,8.3778,44.64,70,0,5.75,NO,clear sky
90,Manoel Urbano,-8.8389,-69.2597,100.2,33,31,5.35,BR,scattered clouds
91,Tasiilaq,65.6145,-37.6368,33.96,87,100,5.12,GL,overcast clouds
92,Lumeje,-11.55,20.7833,77.81,49,57,4.7,AO,broken clouds
93,North Battleford,52.7834,-108.2847,35.4,69,100,20.76,CA,overcast clouds
94,Flinders,-34.5833,150.8552,65.21,88,75,5.01,AU,broken clouds
95,Ancud,-41.8697,-73.8203,60.42,58,15,10.58,CL,few clouds
96,Robstown,27.7903,-97.6689,86.65,70,1,0.0,US,clear sky
97,Tete,-16.1564,33.5867,95.07,24,11,5.3,MZ,few clouds
